channel_id	name	weight
UC73Km9IHhumn8S6zJtG5RQA	Alex Wassabi	2
UCKcGZgLvLdgD1o3dh7JadkA	theDOMINICshow	5
UCXgXW0kqxnJM66dlh6V5Pxw	danisnotinteresting	1
UCuhwvTYFvVZjyBVXc9T7CrA	DanAndPhilGAMES	3
UCQBnesNOJeax0RKuCn6rbJw	LessAmazingPhil	1
UCavTVjugW1OejDAq0aDzdMw	KickThePj	7
UCveMpvDshyXvo-LWUs3dUmA	catrific	2
UCfAEEhKikW1676DCa_0OWLA	Louise Pentland	4
UCMX5i-zBz32M7vSfSh231oQ	Just Duncan	5
UCFIPBP94wEfZemSaonc9-0g	More Wong Fu	1
UCsB0LwkHPWyjfZ-JwvtwEXw	Achievement Hunter	8
UCII0hP2Ycmhh5j8lS4cexBQ	Rooster Teeth Animation	5
UCyoFGdNz4k7i8R0gtSoTZrA	Rooster Teeth Trailers	2
UCkxctb0jr8vwa4Do6c6su0Q	LetsPlay	12
UC4w_tMnHl6sw5VD93tVymGw	Inside Gaming	8
UCboMX_UNgaPBsUOIgasn3-Q	Funhaus	14
UCVyr0QjyHKZQP4ej0YI1Apg	GameFails	4
UCwm59NePcctHtfYanzfyQEQ	LetsPlay Community	5
UCWDIL65Y3kHmLjfp_0ZrpfQ	Game Attack	4
UCay_OLhWtf9iklq8zg_or0g	As/Is	13
UCBUVGPsJzc1U8SECMgBaMFw	BuzzFeed Multiplayer	13
UCKijjvu6bN1c-ZHVwR7-5WA	BuzzFeed Unsolved Network	4
UCPRUgAl_MV9PajsrG_BmT9w	BuzzFeed Celeb	8
UCcOeS5aEIadAhKtJ9_VKAIw	Ladylike	3
UC4wdBTbD8lWlhZdggG2YBlw	BuzzFeed Bring Me	8
UChDhriK1Ar625KyY7JdnT7A	BuzzFeed Nifty	6
UCAqEoRfgMCtErK0qsL1cCtw	BuzzFeed UK	1
UCf4FYTsGFFcdc68AUPIU3RA	BuzzFeed News	6
UC2GnuulpFRtTGFNuS1LKL5g	BuzzFeedViolet	5
UCJFp8uSYCjXOMnkUyb3CQ3Q	Tasty	8
UCulgOR1MzuirjSWu7AnHvsg	AwesomenessTV Cheerleaders	1
UCjjhAz9SxqCC0EYRuWlX_Hg	AwesomenessTV Daily Report	1
UCuVHOs0H5hvAHGr8O4yIBNQ	Niki and Gabi	3
