source	target	interaction	directed
UCt84aUC9OG6di8kSdKzEHTQ	UCAn-f5AvAospCM1Jzgn9QHw	pp	true
UCt84aUC9OG6di8kSdKzEHTQ	UCBmwzQnSoj9b6HzNmFrg_yw	pp	true
UCt84aUC9OG6di8kSdKzEHTQ	UCx2UPs9ulKLkJ9-7Dw8LiIg	pp	true
UCt84aUC9OG6di8kSdKzEHTQ	UCtyYTpFBzWdoSFx2Gl2VNbQ	pp	true
UCt84aUC9OG6di8kSdKzEHTQ	UCK8sQmJBp8GCxrOtXWBpyEA	pp	true
UCWmlRLAOpx9f1t_cVkBx8-g	UCK8sQmJBp8GCxrOtXWBpyEA	pp	true
UCWmlRLAOpx9f1t_cVkBx8-g	UCrRK02_CbvPEPrDYMQ1l49w	pp	true
UCWmlRLAOpx9f1t_cVkBx8-g	UCL8ZULXASCc1I_oaOT0NaOQ	pp	true
UCWmlRLAOpx9f1t_cVkBx8-g	UC_x5XG1OV2P6uZZ5FSM9Ttw	pp	true
UC3x6qC4h-NyuvQBSZYaPKrQ	UCK8sQmJBp8GCxrOtXWBpyEA	pp	true
UC3x6qC4h-NyuvQBSZYaPKrQ	UCL8ZULXASCc1I_oaOT0NaOQ	pp	true
UC3x6qC4h-NyuvQBSZYaPKrQ	UCrRK02_CbvPEPrDYMQ1l49w	pp	true
UC3x6qC4h-NyuvQBSZYaPKrQ	UCIG1k8umaCIIrujZPzZPIMA	pp	true
UC3x6qC4h-NyuvQBSZYaPKrQ	UCMDQxm7cUx3yXkfeHa5zJIQ	pp	true
UCf4AIjSwE-E2TggCPdm-z-A	UC70QckdMkEtr9QHDhRn8-kw	pp	true
UCf4AIjSwE-E2TggCPdm-z-A	UCCLyNDhxwpqNe3UeEmGHl8g	pp	true
UCf4AIjSwE-E2TggCPdm-z-A	UC_x5XG1OV2P6uZZ5FSM9Ttw	pp	true
UCf4AIjSwE-E2TggCPdm-z-A	UCK8sQmJBp8GCxrOtXWBpyEA	pp	true
UCf4AIjSwE-E2TggCPdm-z-A	UC9M7-jzdU8CVrQo1JwmIdWA	pp	true
UCGn7dlcAmH44GqycKa_3ssA	UCK8sQmJBp8GCxrOtXWBpyEA	pp	true
UCpd0xtuhhWwUug1bk84usiA	UCK8sQmJBp8GCxrOtXWBpyEA	pp	true
UCpd0xtuhhWwUug1bk84usiA	UCBR8-60-B28hp2BmDPdntcQ	pp	true
UCEmCXnbNYz-MOtXi3lZ7W1Q	UC7LeBTDzQhjcsEG9VjueUTg	pp	true
UCEmCXnbNYz-MOtXi3lZ7W1Q	UC6nSFpj9HTCZ5t-N3Rm3-HA	pp	true
UCEmCXnbNYz-MOtXi3lZ7W1Q	UCwmFOfFuvRPI112vR5DNnrA	pp	true
UCEmCXnbNYz-MOtXi3lZ7W1Q	UCqmugCqELzhIMNYnsjScXXw	pp	true
UCEmCXnbNYz-MOtXi3lZ7W1Q	UCBMxQPhfM6nkhQ8vPfQhkCg	pp	true
UCEmCXnbNYz-MOtXi3lZ7W1Q	UCRPktNf5vnBR1J4e7t1RUVg	pp	true
UCxqyBoACUss6OxFdmFvxcXQ	UCK8sQmJBp8GCxrOtXWBpyEA	pp	true
UCxqyBoACUss6OxFdmFvxcXQ	UC_x5XG1OV2P6uZZ5FSM9Ttw	pp	true
UCxqyBoACUss6OxFdmFvxcXQ	UCFJcu7Lj_qmYuPhMAerryUA	pp	true
UCSmyV6P8_ir9EV4Z4tYA2QA	UCFJcu7Lj_qmYuPhMAerryUA	pp	true
UCSmyV6P8_ir9EV4Z4tYA2QA	UCK8sQmJBp8GCxrOtXWBpyEA	pp	true
UCSmyV6P8_ir9EV4Z4tYA2QA	UCt84aUC9OG6di8kSdKzEHTQ	pp	true
UCSmyV6P8_ir9EV4Z4tYA2QA	UCBmwzQnSoj9b6HzNmFrg_yw	pp	true
UCSmyV6P8_ir9EV4Z4tYA2QA	UCGnX8ABNZYuZrhzT-sJVaeg	pp	true
UCSmyV6P8_ir9EV4Z4tYA2QA	UCfFyYRYslvuhwMDnx6KjUvw	pp	true
UCSmyV6P8_ir9EV4Z4tYA2QA	UCgl9rHdm9KojNRWs56QI_hg	pp	true
UCSmyV6P8_ir9EV4Z4tYA2QA	UC6ZEIvlahVCA8k5tYTr_a2A	pp	true
UCSmyV6P8_ir9EV4Z4tYA2QA	UC0_ALFRaovsmae1Y8bILisQ	pp	true
UC0_ALFRaovsmae1Y8bILisQ	UCK8sQmJBp8GCxrOtXWBpyEA	pp	true
UC0_ALFRaovsmae1Y8bILisQ	UCGn7dlcAmH44GqycKa_3ssA	pp	true
UCWIzrKzN4KY6BPU8hsk880Q	UCK8sQmJBp8GCxrOtXWBpyEA	pp	true
UCWIzrKzN4KY6BPU8hsk880Q	UCtyYTpFBzWdoSFx2Gl2VNbQ	pp	true
UCWIzrKzN4KY6BPU8hsk880Q	UCf4AIjSwE-E2TggCPdm-z-A	pp	true
UCMDQxm7cUx3yXkfeHa5zJIQ	UCkRfArvrzheW2E7b6SVT7vQ	pp	true
UCMDQxm7cUx3yXkfeHa5zJIQ	UCGg-UqjRgzhYDPJMr-9HXCg	pp	true
UCMDQxm7cUx3yXkfeHa5zJIQ	UCBR8-60-B28hp2BmDPdntcQ	pp	true
