source	target	interaction	directed	name	weight
UCAn-f5AvAospCM1Jzgn9QHw	UCt84aUC9OG6di8kSdKzEHTQ	pp	true	X, the moonshot factory	1
UCAn-f5AvAospCM1Jzgn9QHw	UCP-Ng5SXUEt0VE-TXqRdL6g	pp	true	X, the moonshot factory	1
UCAn-f5AvAospCM1Jzgn9QHw	UCpVm7bg6pXKo1Pr6k5kxG9A	pp	true	X, the moonshot factory	1
UCAn-f5AvAospCM1Jzgn9QHw	UC_xYMXx_-mAzheKyEtwtCAQ	pp	true	X, the moonshot factory	1
UCAn-f5AvAospCM1Jzgn9QHw	UCrHXK2A9JtiexqwHuWGeSMg	pp	true	X, the moonshot factory	1
UCx2UPs9ulKLkJ9-7Dw8LiIg	UCL8ZULXASCc1I_oaOT0NaOQ	pp	true	Google Science Fair	3
UCx2UPs9ulKLkJ9-7Dw8LiIg	UC08FMoIyKIiXzzw26J_6fdw	pp	true	Google Science Fair	3
UCtyYTpFBzWdoSFx2Gl2VNbQ	UCK8sQmJBp8GCxrOtXWBpyEA	pp	true	Chromebooks	1
UCtyYTpFBzWdoSFx2Gl2VNbQ	UCWIzrKzN4KY6BPU8hsk880Q	pp	true	Chromebooks	1
UCtyYTpFBzWdoSFx2Gl2VNbQ	UC_x5XG1OV2P6uZZ5FSM9Ttw	pp	true	Chromebooks	1
UCtyYTpFBzWdoSFx2Gl2VNbQ	UCdIiCSqXuybzwGwJwrpHPqw	pp	true	Chromebooks	1
UCIG1k8umaCIIrujZPzZPIMA	UCWmlRLAOpx9f1t_cVkBx8-g	pp	true	Google Students	2
UCIG1k8umaCIIrujZPzZPIMA	UCL8ZULXASCc1I_oaOT0NaOQ	pp	true	Google Students	2
UCIG1k8umaCIIrujZPzZPIMA	UCK8sQmJBp8GCxrOtXWBpyEA	pp	true	Google Students	2
UC70QckdMkEtr9QHDhRn8-kw	UCJadKNYMahhqtdAhDZSy4cg	pp	true	Made by Google	1
UCCLyNDhxwpqNe3UeEmGHl8g	UCh5Yo6HN5b2Hco70HosIzZA	pp	true	Google ATAP	2
UC7LeBTDzQhjcsEG9VjueUTg	UCEmCXnbNYz-MOtXi3lZ7W1Q	pp	true	Google self-driving car project	2
UC7LeBTDzQhjcsEG9VjueUTg	UCivtfTLPQ52Gmr4vdwVoZXQ	pp	true	Google self-driving car project	2
UC7LeBTDzQhjcsEG9VjueUTg	UCboO-orWDjoSrZ2yqJRQpBQ	pp	true	Google self-driving car project	2
UC6nSFpj9HTCZ5t-N3Rm3-HA	UCqmugCqELzhIMNYnsjScXXw	pp	true	MarkDouglas	3
UC6nSFpj9HTCZ5t-N3Rm3-HA	UCwmFOfFuvRPI112vR5DNnrA	pp	true	MarkDouglas	3
UC6nSFpj9HTCZ5t-N3Rm3-HA	UClq42foiSgl7sSpLupnugGA	pp	true	MarkDouglas	3
UC6nSFpj9HTCZ5t-N3Rm3-HA	UCoxcjq-8xIDTYp3uz647V5A	pp	true	MarkDouglas	3
UC6nSFpj9HTCZ5t-N3Rm3-HA	UC6107grRI4m0o2-emgoDnAA	pp	true	MarkDouglas	3
UC6nSFpj9HTCZ5t-N3Rm3-HA	UCUHW94eEFW7hkUMVaZz4eDg	pp	true	MarkDouglas	3
UC6nSFpj9HTCZ5t-N3Rm3-HA	UC2C_jShtL725hvbm1arSV9w	pp	true	MarkDouglas	3
UC6nSFpj9HTCZ5t-N3Rm3-HA	UCvBqzzvUBLCs8Y7Axb-jZew	pp	true	MarkDouglas	3
UC6nSFpj9HTCZ5t-N3Rm3-HA	UCHnyfMqiRRG1u-2MsSQLbXA	pp	true	MarkDouglas	3
UC6nSFpj9HTCZ5t-N3Rm3-HA	UCOGeU-1Fig3rrDjhm9Zs_wg	pp	true	MarkDouglas	3
UC6nSFpj9HTCZ5t-N3Rm3-HA	UCeQEKFH31vvD-InkTGSvCrA	pp	true	MarkDouglas	3
UCwmFOfFuvRPI112vR5DNnrA	UC6nSFpj9HTCZ5t-N3Rm3-HA	pp	true	Vsauce	61
UCwmFOfFuvRPI112vR5DNnrA	UCqmugCqELzhIMNYnsjScXXw	pp	true	Vsauce	61
UCwmFOfFuvRPI112vR5DNnrA	UClq42foiSgl7sSpLupnugGA	pp	true	Vsauce	61
UCwmFOfFuvRPI112vR5DNnrA	UCk6cjmZB_r3AVPMyAeJYBng	pp	true	Vsauce	61
UCwmFOfFuvRPI112vR5DNnrA	UCtinbF-Q-fVthA0qrFQTgXQ	pp	true	Vsauce	61
UCwmFOfFuvRPI112vR5DNnrA	UCC552Sd-3nyi_tk2BudLUzA	pp	true	Vsauce	61
UCwmFOfFuvRPI112vR5DNnrA	UCEmCXnbNYz-MOtXi3lZ7W1Q	pp	true	Vsauce	61
UCwmFOfFuvRPI112vR5DNnrA	UCjwmbv6NE4mOh8Z8VhPUx1Q	pp	true	Vsauce	61
UCqmugCqELzhIMNYnsjScXXw	UC6nSFpj9HTCZ5t-N3Rm3-HA	pp	true	Vsauce3	18
UCqmugCqELzhIMNYnsjScXXw	UCwmFOfFuvRPI112vR5DNnrA	pp	true	Vsauce3	18
